UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U105125,21,3,1207.0,PR101342,Windows,,17,0
U105126,1,1,3221.0,PR100417,Windows,PR100003,1,0
U105127,8,3,1211.0,PR100070,Windows,PR100910,6,2
U105128,5,4,1266.0,PR100166,Windows,PR100166,1,3
U105129,4,5,1570.0,PR100416,Windows,PR109729,3,1
U105130,13,11,1212.0,PR101570,Andriod,,6,2
U105131,41,15,1477.0,PR103833,Windows,PR103838,10,26
U105132,10,4,1419.0,PR100578,Windows,PR100578,5,5
U105133,24,3,1304.0,PR100553,Windows,PR100102,2,16
U105134,9,6,1231.0,PR100028,Windows,PR100209,2,7
U105135,32,11,1210.0,PR100119,Windows,PR100119,2,26
U105136,0,0,1199.0,PR100152,Andriod,PR100017,0,0
U105137,31,16,1265.0,PR100137,Windows,PR100367,23,4
U105138,9,4,2241.0,PR100390,Windows,PR100390,6,3
U105139,0,0,1481.0,PR100147,Windows,PR100481,0,0
U105140,1,1,1907.0,PR100470,Andriod,PR100017,1,0
U105141,2,2,1368.0,PR100083,Windows,PR100028,1,1
U105142,1,1,1639.0,PR100336,Windows,PR100098,1,0
U105143,48,4,1202.0,PR100084,Windows,,19,24
U105144,23,4,1571.0,PR100166,Windows,PR100166,13,10
U105145,7,5,2076.0,PR100176,Andriod,PR100176,6,1
U105146,8,4,1188.0,PR100000,Mac OS X,PR100522,1,5
U105147,16,13,2346.0,PR100330,Windows,PR101182,7,7
U105148,2,4,1475.0,PR100050,Windows,PR100319,0,2
U105149,48,14,2126.0,PR100390,Mac OS X,PR100390,18,23
U105150,1,1,1197.0,PR100660,Andriod,PR100051,0,0
U105151,2,1,1309.0,,Windows,PR100735,0,2
U105152,0,0,1358.0,PR100147,Mac OS X,PR101765,0,0
U105153,1,6,1478.0,PR100279,Windows,PR100017,1,0
U105154,4,15,1243.0,PR100051,Windows,PR100017,2,1
U105155,2,1,1225.0,PR100870,Windows,PR100739,2,0
U105156,0,1,1249.0,,Andriod,PR100026,0,0
U105157,0,0,1991.0,PR100089,Andriod,PR100089,0,0
U105158,5,5,1178.0,PR100487,Windows,,1,4
U105159,4,1,2384.0,PR100747,Windows,PR100747,3,1
U105160,10,2,1176.0,PR100428,Windows,PR100060,0,8
U105161,8,4,1185.0,PR101188,Andriod,PR100885,1,5
U105162,3,2,1252.0,PR100134,Windows,PR101355,1,2
U105163,1,3,2774.0,PR100258,Andriod,PR100038,1,0
U105164,4,4,1606.0,PR100106,Ubuntu,PR100906,3,1
U105165,1,4,1192.0,PR100906,Windows,PR100906,1,0
U105166,4,4,1483.0,PR103846,Mac OS X,PR100045,2,2
U105167,1,1,1641.0,PR100567,Andriod,PR102624,1,0
U105168,0,0,1510.0,PR100010,Windows,PR100251,0,0
U105169,49,2,1181.0,PR100609,Windows,PR100609,2,37
U105170,9,15,1646.0,PR100166,Windows,PR100035,5,3
U105172,5,6,1444.0,PR100339,Windows,PR100086,1,2
U105173,0,1,2182.0,PR100667,Windows,PR100919,0,0
U105174,1,3,1314.0,PR100672,Windows,,1,0
U105175,0,0,1198.0,PR100994,Windows,PR100328,0,0
U105176,7,4,1815.0,PR101024,Windows,PR101619,4,2
U105177,36,17,1987.0,PR100054,Windows,PR100823,6,21
U105178,1,1,1210.0,PR100113,Windows,,1,0
U105179,2,1,1987.0,PR101026,Windows,PR100005,0,1
U105180,1,1,1775.0,PR101234,Windows,PR100209,1,0
U105181,7,6,1342.0,PR100522,Andriod,PR100446,5,2
U105182,0,0,1188.0,PR100017,Windows,PR100348,0,0
U105183,5,3,1218.0,PR100099,Windows,PR100099,5,0
U105184,0,0,2080.0,PR100872,Windows,PR100469,0,0
U105185,30,10,1297.0,PR100166,Andriod,PR100390,13,14
U105186,0,0,2215.0,PR100901,Andriod,PR100106,0,0
U105187,3,2,1231.0,PR100017,Windows,PR100102,3,0
U105188,31,6,1655.0,PR101217,Windows,PR100055,6,22
U105189,5,8,2594.0,PR100817,Ios,PR101637,5,0
U105190,24,10,1625.0,PR100145,Windows,PR100145,9,13
U105191,6,2,1209.0,PR100121,Windows,PR100021,0,6
U105192,0,0,1218.0,PR100302,Andriod,PR100172,0,0
U105193,1,1,1198.0,PR100113,Windows,PR101013,1,0
U105194,6,9,1478.0,PR100631,Andriod,PR102519,3,1
U105195,7,1,1299.0,PR100028,Windows,PR101339,0,6
U105196,0,0,1182.0,PR100469,Windows,PR100017,0,0
U105197,5,3,2194.0,,Andriod,PR100413,5,0
U105198,2,1,1179.0,PR100456,Andriod,PR100232,0,2
U105199,1,1,1239.0,PR101039,Andriod,PR100115,0,1
U105200,74,24,1848.0,,Windows,PR101045,27,36
U105201,3,4,1624.0,PR101148,Andriod,PR100390,1,2
U105202,1,4,1373.0,PR100308,Windows,PR102586,1,0
U105204,9,6,1214.0,PR100166,Windows,,5,4
U105205,32,3,1229.0,PR100030,Windows,PR100024,1,28
U105206,0,0,2284.0,PR101143,Andriod,PR100329,0,0
U105207,1,1,1685.0,PR100437,Andriod,PR100568,0,0
U105208,36,10,1221.0,PR100393,Windows,,3,26
U105209,27,11,1516.0,PR100460,Windows,PR100415,5,18
U105210,1,3,1262.0,PR100003,Andriod,PR100797,0,0
U105211,0,1,1415.0,PR103001,Windows,PR100024,0,0
U105212,26,14,1538.0,PR100390,Windows,PR100816,10,15
U105213,1,2,2091.0,PR100250,Windows,PR100250,0,0
U105214,1,1,1216.0,PR100181,Windows,PR102226,1,0
U105215,6,5,1176.0,PR100145,Windows,PR100390,3,1
U105216,1,1,1501.0,PR101637,Windows,PR100060,0,0
U105217,3,6,1400.0,PR100551,Windows,PR100232,1,2
U105218,9,12,1429.0,PR101882,Windows,PR100136,6,3
U105219,100,14,1257.0,PR100166,Windows,PR100771,7,76
U105220,2,4,2947.0,PR100551,Windows,PR100044,1,1
U105221,3,7,1899.0,PR100209,Andriod,PR100279,0,2
U105222,1,1,1324.0,PR100241,Mac OS X,PR100102,1,0
U105223,40,13,1733.0,PR104950,Windows,PR100166,20,16
U105224,67,2,1415.0,PR101611,Windows,PR100098,0,60
U105225,2,1,1330.0,PR100332,Windows,PR100279,0,2
U105226,0,0,1246.0,PR100172,Andriod,PR100172,0,0
U105227,1,1,1469.0,PR100055,Windows,,1,0
U105228,27,9,2588.0,PR100272,Windows,PR100308,3,19
U105229,4,4,2874.0,PR100245,Windows,PR100245,3,1
U105230,11,9,1434.0,PR100135,Windows,,3,8
U105231,1,1,1487.0,PR100484,Andriod,PR101021,1,0
U105232,43,16,1258.0,PR100166,Windows,,20,19
U105233,2,2,1219.0,PR100209,Andriod,PR100003,1,1
U105234,17,26,2848.0,PR100919,Windows,PR100218,10,5
U105235,19,11,1252.0,PR100250,Windows,PR100312,6,12
U105236,609,63,1228.0,PR101042,Windows,PR101042,117,410
U105237,4,3,1229.0,PR100166,Windows,PR100051,2,2
U105238,12,4,1211.0,PR100010,Andriod,,12,0
U105239,1,1,1289.0,PR100199,Ubuntu,PR100017,0,1
U105240,5,4,1197.0,PR100263,Andriod,PR100406,0,3
U105241,15,2,1773.0,PR100116,Windows,PR100116,1,13
U105242,4,2,1297.0,PR100025,Andriod,PR100187,4,0
U105243,4,7,2026.0,PR100010,Andriod,PR100072,2,2
U105244,10,5,2633.0,,Windows,PR100313,1,7
U105245,2,1,1241.0,PR100089,Andriod,PR102602,1,1
U105246,9,15,2186.0,PR100340,Windows,PR100177,1,8
U105247,1,1,1371.0,PR100219,Andriod,PR100850,1,0
U105248,12,5,1459.0,PR100785,Windows,PR100010,1,5
U105249,2,2,1272.0,PR100268,Windows,PR100161,1,1
U105250,2,3,1430.0,PR100910,Windows,PR100241,2,0
U105251,3,2,1542.0,PR100352,Windows,PR100022,1,1
U105252,13,4,1186.0,PR100850,Windows,,3,9
U105253,1,2,1352.0,PR100143,Andriod,PR100028,1,0
U105254,9,3,1570.0,PR100102,Andriod,PR101615,5,4
U105255,21,2,1200.0,,Windows,PR100269,1,15
U105256,4,2,1466.0,,Windows,PR100052,2,1
U105257,3,2,1649.0,PR100234,Windows,PR100329,1,1
U105258,7,2,1895.0,PR100575,Windows,PR100575,3,3
U105259,16,15,1257.0,PR100359,Mac OS X,PR100134,5,8
U105260,16,7,1506.0,,Windows,PR100200,6,10
U105261,32,3,1606.0,PR100017,Windows,PR100268,1,27
U105262,5,3,2117.0,PR100642,Andriod,PR100133,2,1
U105263,253,14,1440.0,PR100095,Windows,PR100458,54,178
U105264,0,0,1252.0,PR100010,Windows,PR100251,0,0
U105266,54,28,1852.0,PR100390,Windows,PR100189,18,29
U105267,1,1,1316.0,PR101216,Windows,PR101216,1,0
U105268,4,2,1662.0,PR100697,Windows,PR100219,2,2
U105269,1,2,1262.0,PR100023,Windows,PR100080,1,0
U105270,8,4,1532.0,PR101029,Windows,PR100333,1,5
U105271,7,4,1202.0,PR100885,Windows,PR100096,1,4
U105272,1,1,1241.0,PR100258,Windows,PR100017,0,1
U105273,12,14,1210.0,PR101042,Windows,PR100051,4,5
U105275,12,3,1209.0,PR100466,Mac OS X,PR100864,1,11
U105276,3,2,1778.0,PR100166,Windows,,3,0
U105277,0,0,1230.0,PR100055,Windows,PR100102,0,0
U105278,0,0,1315.0,PR100105,Windows,PR100281,0,0
U105279,0,0,1189.0,PR100017,Windows,,0,0
U105280,0,0,2234.0,PR100801,Windows,PR100017,0,0
U105281,10,7,2090.0,PR100200,Windows,PR100200,3,4
U105282,19,7,1373.0,PR100885,Windows,PR100885,6,10
U105283,2,1,2389.0,PR101682,Windows,PR100910,1,0
U105284,1,6,2547.0,PR100080,Windows,PR100416,0,1
U105285,2,1,1249.0,PR100060,Windows,PR100338,1,1
U105286,3,2,1294.0,PR100058,Windows,PR101030,2,0
U105287,62,12,1983.0,PR100390,Windows,PR100390,29,27
U105288,26,22,2997.0,PR100978,Windows,PR101609,15,8
U105289,21,12,1479.0,PR100051,Mac OS X,PR100044,9,11
U105290,1,1,1387.0,PR100873,Windows,PR101814,1,0
U105291,9,6,3363.0,PR100686,Mac OS X,PR100017,5,3
U105292,117,9,1251.0,PR100189,Windows,PR100769,15,92
U105293,2,1,1915.0,PR100484,Andriod,PR100017,1,1
U105294,2,1,1401.0,,Mac OS X,PR100080,1,0
U105295,8,6,2299.0,PR103152,Mac OS X,PR101143,2,5
U105296,6,4,2243.0,PR100275,Windows,PR100489,2,3
U105297,0,1,1191.0,PR100331,Windows,PR100027,0,0
U105298,1,1,1199.0,PR106653,Windows,PR100390,0,0
U105299,29,10,1460.0,PR100673,Windows,PR100166,6,21
U105300,5,3,1203.0,,Windows,PR101250,3,1
U105301,1,1,2698.0,PR100035,Windows,PR100003,1,0
U105302,1,1,1582.0,PR100365,Linux,PR100561,1,0
U105303,6,2,1256.0,PR100017,Andriod,PR100102,1,3
U105304,1,1,1204.0,PR100080,Windows,,0,1
U105305,3,3,1466.0,PR100202,Windows,PR100307,1,1
U105306,8,6,1241.0,PR100390,Windows,PR100166,4,4
U105307,1,1,1175.0,PR100453,Windows,PR100047,1,0
U105308,5,5,1490.0,PR100352,Andriod,PR100102,2,2
U105309,4,2,1344.0,PR100070,Ubuntu,PR100058,0,3
U105310,4,3,1251.0,PR100017,Andriod,PR100219,2,1
U105311,0,0,1185.0,PR100610,Windows,PR100241,0,0
U105312,12,6,1908.0,PR100166,Windows,PR100390,5,7
U105313,0,0,2032.0,PR100113,Andriod,PR100073,0,0
U105314,10,13,1207.0,PR100060,Windows,PR101064,6,3
U105315,0,0,1190.0,PR100739,Andriod,PR100145,0,0
U105316,19,6,1258.0,PR100390,Windows,PR100072,8,8
U105317,15,2,1294.0,PR100466,Windows,PR100097,3,11
U105318,1,1,1753.0,PR100086,Windows,PR100558,1,0
U105319,11,4,1312.0,PR100166,Windows,PR100390,6,4
U105320,5,4,1177.0,PR100504,Windows,PR100145,4,1
U105321,2,2,1909.0,PR100457,Windows,PR100003,1,1
U105322,49,19,1188.0,PR100166,Andriod,PR100166,24,20
U105323,39,17,1875.0,PR101271,Windows,PR100486,13,18
U105324,40,49,2342.0,PR102389,Windows,PR101042,18,17
U105325,26,15,2162.0,PR100123,Windows,PR100662,10,12
U105327,23,4,1637.0,PR100374,Windows,PR100374,2,15
U105328,2,1,1204.0,PR100470,Andriod,PR102519,2,0
U105329,3,3,1198.0,PR100145,Windows,PR100123,3,0
U105330,0,0,1321.0,PR100109,Windows,PR100148,0,0
U105331,2,2,1670.0,PR100035,Andriod,PR100020,2,0
U105332,53,10,1394.0,PR100363,Windows,PR100102,7,38
U105333,6,4,1409.0,PR100152,Windows,,1,5
U105334,2,2,1914.0,PR100541,Windows,PR100339,1,1
U105335,1,1,1439.0,PR100114,Windows,PR101293,0,1
U105336,39,21,2368.0,PR100581,Windows,PR101097,27,6
U105337,2,5,1475.0,PR100115,Andriod,PR100145,1,0
U105338,31,17,1698.0,PR100123,Mac OS X,PR100321,15,13
U105339,0,1,1183.0,PR100258,Andriod,PR100244,0,0
U105340,15,4,2238.0,PR100281,Windows,PR100017,0,13
U105341,1,1,1238.0,PR100128,Andriod,PR100085,1,0
U105343,3,3,1183.0,PR100807,Ubuntu,PR100067,1,2
U105344,0,0,1245.0,PR100590,Windows,PR102390,0,0
U105345,3,6,2232.0,PR100025,Andriod,PR100102,3,0
U105346,2,2,1577.0,PR101487,Windows,PR100739,2,0
U105347,2,2,1928.0,PR100017,Linux,PR100044,1,0
U105348,21,5,2254.0,PR100885,Windows,PR100268,3,14
U105349,0,1,1218.0,PR100258,Andriod,PR100017,0,0
U105350,2,2,1654.0,PR103056,Mac OS X,PR100086,2,0
U105351,6,10,1211.0,PR100139,Windows,PR100113,4,2
U105352,0,0,2018.0,PR101030,Andriod,PR100015,0,0
U105353,5,3,1486.0,PR100426,Andriod,,2,1
U105354,3,4,1724.0,PR100209,Mac OS X,PR100340,2,1
U105355,19,21,3389.0,PR100477,Andriod,PR100044,10,7
U105357,1,2,1494.0,PR100017,Andriod,PR100017,0,0
U105358,0,0,1307.0,PR100017,Andriod,PR100017,0,0
U105359,10,6,3389.0,PR100316,Mac OS X,PR100190,2,4
U105360,19,12,1481.0,PR100060,Windows,PR100098,4,13
U105361,1,1,1182.0,PR100073,Andriod,PR100151,1,0
U105362,8,3,1371.0,,Andriod,PR100219,4,4
U105363,4,5,1211.0,PR100166,Windows,PR100833,2,1
U105364,163,42,1286.0,PR100287,Windows,PR101883,49,87
U105365,2,2,1220.0,PR100055,Windows,PR101116,0,2
U105366,2,2,1246.0,PR100241,Windows,PR100469,1,1
U105367,63,14,1187.0,PR100166,Andriod,PR100515,11,46
U105368,4,3,1950.0,PR100821,Mac OS X,PR100166,3,0
U105369,7,5,1413.0,PR100017,Linux,PR100197,1,4
U105370,6,2,1549.0,PR100267,Windows,PR100267,2,2
U105371,1,5,1377.0,,Windows,PR100017,0,1
U105372,11,5,1209.0,PR100086,Windows,PR102009,4,4
U105373,1,1,1965.0,PR100370,Mac OS X,PR100431,1,0
U105374,4,3,1426.0,PR100515,Windows,PR101367,3,1
U105375,4,5,2300.0,PR100083,Windows,PR100145,1,2
U105376,14,2,1178.0,PR101135,Windows,PR100121,0,10
U105377,19,19,1581.0,PR100302,Windows,PR101225,13,4
U105378,1,1,1223.0,PR100469,Andriod,PR100901,0,1
U105379,0,0,1414.0,PR100036,Andriod,PR101463,0,0
U105380,3,3,2051.0,PR100017,Windows,PR100123,1,2
U105381,10,4,1222.0,PR100176,Windows,PR100017,4,5
U105382,3,3,1267.0,PR100342,Windows,PR100872,2,0
U105383,0,2,1190.0,,Andriod,PR100025,0,0
U105384,18,6,2755.0,PR100390,Linux,PR100390,7,6
U105385,3,3,1412.0,PR103909,Andriod,PR100166,2,0
U105387,22,4,1189.0,PR100017,Ubuntu,PR100702,3,16
U105388,0,0,1215.0,PR100134,Windows,PR100066,0,0
U105389,3,5,1366.0,PR100152,Windows,PR100113,2,1
U105390,1,1,1295.0,PR100098,Andriod,PR101678,1,0
U105391,12,7,2356.0,PR100470,Windows,PR101744,4,7
U105392,7,4,2209.0,,Windows,PR101765,1,5
U105393,3,2,1426.0,PR100747,Andriod,PR101108,0,0
U105394,0,0,1320.0,PR100187,Andriod,PR100017,0,0
U105395,13,3,1419.0,PR100245,Windows,,0,11
U105396,5,2,2577.0,PR100134,Mac OS X,PR100060,0,4
U105397,1,1,1448.0,PR100348,Mac OS X,PR100017,1,0
U105398,1,1,1231.0,PR100238,Windows,PR100238,1,0
U105399,3,7,1258.0,PR100044,Mac OS X,PR100852,1,2
U105400,8,7,1376.0,PR100187,Windows,,4,3
U105401,3,1,3106.0,PR100330,Windows,PR100330,1,1
U105402,5,11,2189.0,PR100102,Windows,PR100287,2,1
U105403,46,37,2357.0,,Windows,,19,24
U105404,22,15,2273.0,PR102187,Windows,PR102187,7,11
U105405,1,1,1649.0,PR100234,Mac OS X,PR100251,1,0
U105406,3,3,1472.0,PR103001,Andriod,PR103001,1,0
U105407,0,0,2182.0,PR100667,Windows,PR100919,0,0
U105408,2,5,1227.0,PR101226,Windows,PR100079,0,2
U105409,103,25,1358.0,PR100287,Andriod,PR102260,32,63
U105410,20,8,1219.0,PR100743,Windows,PR100268,9,7
U105411,1,0,1454.0,,Windows,PR100166,1,0
U105412,2,2,1177.0,PR100872,Windows,PR100084,1,1
U105413,1,1,1183.0,PR100036,Andriod,PR101206,1,0
U105414,4,4,1227.0,PR100055,Windows,,3,0
U105415,10,4,1335.0,PR100209,Mac OS X,,4,6
U105416,1,1,1523.0,PR100247,Andriod,PR101043,0,0
U105417,15,4,1238.0,PR100166,Windows,PR100390,9,6
U105418,0,0,1414.0,PR100036,Andriod,PR101463,0,0
U105419,1,1,1975.0,PR100498,Windows,,1,0
U105420,4,3,1253.0,PR100873,Windows,PR100028,1,1
U105421,8,5,1361.0,PR100015,Windows,PR100254,2,3
U105422,9,2,1549.0,PR100098,Andriod,PR100098,2,7
U105423,0,1,1887.0,PR100430,Windows,PR100416,0,0
U105424,1,2,1265.0,PR100305,Windows,PR100017,1,0
U105425,0,0,1515.0,PR100182,Andriod,PR100130,0,0
U105426,3,3,1257.0,PR100182,Andriod,PR100248,2,1
U105427,19,2,1255.0,,Windows,PR100060,2,16
U105428,1,1,1191.0,PR100070,Windows,PR100185,0,1
U105429,2,1,1980.0,,Andriod,PR100003,1,1
U105430,5,1,1278.0,PR100080,Windows,PR100017,2,2
U105431,7,5,1316.0,PR100610,Windows,PR100241,2,2
U105432,0,2,1273.0,PR100590,Andriod,PR100057,0,0
U105433,9,8,1527.0,PR100102,Windows,,3,4
U105434,12,9,1468.0,PR100706,Windows,PR100355,5,6
U105435,3,4,1300.0,,Mac OS X,PR100500,1,1
U105436,16,7,1252.0,,Windows,,5,7
U105437,33,20,1198.0,PR100510,Windows,PR100330,3,25
U105438,1,3,1240.0,PR100102,Windows,PR100061,0,0
U105439,0,2,2193.0,PR100146,Windows,PR100146,0,0
U105441,2,2,1194.0,PR100089,Andriod,PR100025,2,0
U105442,7,3,1288.0,PR100406,Windows,,2,4
U105443,6,7,1623.0,PR100197,Windows,PR100629,2,4
U105444,27,12,1802.0,PR100872,Windows,PR101430,16,9
U105445,2,2,1203.0,PR102429,Andriod,PR100248,1,0
U105446,12,7,1222.0,PR101778,Windows,PR100040,8,3
U105447,83,19,1215.0,PR100017,Windows,PR100238,24,49
U105448,24,2,1414.0,PR100200,Andriod,PR100200,10,12
U105449,0,0,1881.0,PR100060,Windows,PR100202,0,0
U105450,25,6,1258.0,PR100017,Windows,,6,17
U105451,7,8,1314.0,PR101395,Andriod,PR100206,5,2
U105452,25,10,1176.0,PR100200,Mac OS X,PR100595,5,14
U105453,15,39,1400.0,PR100595,Windows,PR100495,6,5
U105454,1,1,1412.0,PR100172,Mac OS X,PR100017,0,1
U105456,1,1,1179.0,PR100166,Windows,PR101145,1,0
U105457,2,1,1278.0,PR100258,Windows,PR100739,0,1
U105458,0,0,1681.0,,Andriod,PR101381,0,0
U105459,3,4,1372.0,PR100450,Andriod,PR100355,1,2
U105460,4,2,1190.0,PR101320,Windows,PR100279,4,0
U105461,16,12,1548.0,PR100166,Mac OS X,PR100551,5,6
U105462,1,1,1299.0,PR100872,Windows,PR102072,1,0
U105463,62,25,1243.0,PR100044,Mac OS X,PR100254,16,35
U105464,0,0,1184.0,PR100166,Windows,PR100028,0,0
U105465,9,3,2437.0,PR101789,Andriod,PR100219,8,1
U105466,15,6,1189.0,PR101030,Ubuntu,PR101030,3,8
U105467,0,0,1847.0,PR100041,Windows,,0,0
U105468,17,6,1223.0,PR100972,Windows,PR100026,4,12
U105469,0,0,1289.0,PR100522,Windows,PR100010,0,0
U105470,1,1,2322.0,PR100003,Andriod,PR100047,0,1
U105471,10,10,2356.0,PR100550,Mac OS X,PR100962,1,7
U105472,15,10,1175.0,PR100166,Windows,PR100166,4,9
U105473,9,4,1299.0,PR100390,Andriod,PR100390,5,3
U105474,20,2,1197.0,PR100219,Mac OS X,PR100172,1,17
U105475,3,2,1217.0,PR100017,Windows,PR100166,3,0
U105477,4,2,1180.0,PR102226,Windows,PR100166,0,4
U105478,6,6,1234.0,PR100510,Windows,PR100017,3,2
U105479,4,2,1195.0,PR100072,Mac OS X,PR100166,1,2
U105480,0,0,3060.0,PR100364,Andriod,PR100051,0,0
U105481,14,8,2024.0,PR100166,Windows,PR100390,7,5
U105482,23,48,1238.0,PR100012,Andriod,PR100012,9,8
U105483,1,2,1215.0,PR100145,Andriod,PR100558,0,0
U105484,20,2,1658.0,,Windows,PR100102,1,16
U105485,0,0,1687.0,PR100369,Andriod,PR100424,0,0
U105486,14,10,1450.0,PR100794,Windows,PR100833,8,3
U105487,3,2,1809.0,PR100339,Andriod,PR100087,0,3
U105488,3,4,1210.0,PR100428,Windows,PR100145,2,0
U105489,50,4,1227.0,PR100340,Windows,PR100881,2,39
U105490,2,3,1661.0,,Windows,PR100017,0,0
U105491,7,13,1603.0,,Windows,PR100134,4,2
U105492,2,2,1474.0,PR100739,Andriod,PR101330,2,0
U105493,1,1,1575.0,PR100873,Andriod,PR100363,1,0
U105494,0,0,1552.0,PR100901,Andriod,PR100631,0,0
U105495,6,8,1264.0,PR100166,Andriod,PR100017,0,5
U105496,2,2,1481.0,PR100089,Andriod,PR101024,2,0
U105497,2,3,2659.0,PR100017,Andriod,PR100254,2,0
U105498,14,9,1977.0,PR100200,Windows,PR100200,2,10
U105499,2,12,3389.0,PR100603,Windows,PR100859,2,0
U105500,3,2,1955.0,PR100817,Windows,PR101746,1,2
U105501,5,8,3112.0,PR100267,Mac OS X,PR100071,5,0
U105502,1,1,1483.0,PR100017,Andriod,,0,1
U105503,9,2,1197.0,PR100616,Andriod,PR100102,7,0
U105504,23,5,1240.0,PR100515,Ubuntu,PR100017,3,17
U105505,0,0,3097.0,PR100630,Windows,PR100166,0,0
U105506,13,2,1333.0,PR100977,Andriod,PR100737,0,13
U105507,3,2,1217.0,PR100126,Windows,PR100250,3,0
U105508,2,2,1704.0,PR100988,Andriod,PR100014,2,0
U105509,0,0,1374.0,PR100219,Windows,PR100629,0,0
U105510,2,2,1336.0,PR100574,Andriod,PR100335,2,0
U105511,1,1,1274.0,PR100606,Windows,PR102072,1,0
U105512,14,5,1746.0,PR100849,Windows,PR100849,2,9
U105513,385,6,1186.0,,Windows,PR100137,2,330
U105514,7,5,1282.0,PR101151,Windows,PR101151,0,7
U105515,1,1,1297.0,PR102276,Andriod,PR100312,0,1
U105516,7,3,1271.0,PR100673,Windows,PR100200,2,3
U105517,3,2,1866.0,PR100003,Andriod,PR100200,2,1
U105518,3,4,3105.0,PR100479,Mac OS X,PR100619,0,2
U105519,6,6,3391.0,PR100668,Windows,PR100338,4,2
U105520,0,0,1519.0,PR100166,Andriod,PR100982,0,0
U105521,2,5,1667.0,PR100873,Andriod,PR100014,2,0
U105522,62,37,3389.0,PR100166,Mac OS X,PR102165,23,27
U105523,0,0,1874.0,,Andriod,PR100079,0,0
U105524,14,6,1433.0,PR100010,Andriod,PR100172,10,2
U105525,38,16,1685.0,PR100166,Windows,PR100321,22,9
U105526,53,28,3389.0,PR100219,Mac OS X,PR101169,21,23
U105527,24,47,1220.0,PR100083,Andriod,PR100812,7,17
U105528,0,0,1339.0,PR100720,Andriod,PR100842,0,0
U105529,5,5,1326.0,PR100630,Windows,PR100166,0,4
U105530,0,0,1272.0,,Andriod,PR100089,0,0
U105531,4,2,2132.0,PR100298,Windows,PR100298,1,2
U105532,4,1,1243.0,PR100037,Windows,PR100339,1,3
U105533,2,1,1212.0,PR100017,Windows,PR100200,0,2
U105534,2,1,1185.0,PR100025,Andriod,PR100103,1,1
U105535,3,3,1188.0,PR102131,Windows,PR100152,3,0
U105536,6,2,1240.0,PR100017,Windows,PR100017,3,2
U105537,0,0,1239.0,PR100550,Windows,PR101216,0,0
U105538,1,1,1486.0,PR100182,Andriod,PR101935,0,0
U105539,67,25,1156.0,PR100166,Andriod,PR100363,23,33
U105540,5,11,1435.0,PR100697,Windows,PR103771,1,3
U105541,0,0,1248.0,PR100282,Windows,PR100017,0,0
U105542,7,6,1215.0,PR100870,Windows,PR100390,7,0
U105544,0,0,1214.0,PR102165,Windows,PR100200,0,0
U105545,4,3,1347.0,,Windows,PR102602,2,1
U105546,6,5,1557.0,PR100044,Windows,PR100017,3,3
U105547,1,1,3021.0,PR100054,Windows,,1,0
U105548,0,4,1313.0,PR100872,Windows,PR100363,0,0
U105550,4,3,1207.0,PR100025,Andriod,PR100200,3,0
U105551,8,21,1196.0,PR100166,Windows,PR100200,4,1
U105552,4,2,1281.0,PR100060,Windows,,0,4
U105553,14,2,1253.0,PR100669,Windows,PR100669,1,10
U105554,5,3,1463.0,PR100099,Mac OS X,PR100113,0,4
U105555,9,7,1254.0,PR100142,Windows,PR100017,4,4
U105556,3,5,3027.0,PR100102,Windows,PR100820,1,0
U105557,20,6,1275.0,PR100017,Andriod,PR100017,4,15
U105558,12,20,1607.0,PR100142,Windows,PR100561,10,2
U105559,0,0,1509.0,PR100145,Windows,PR100097,0,0
U105560,3,2,2129.0,PR101216,Andriod,PR100390,2,0
U105561,6,4,1576.0,PR101781,Windows,PR100773,3,3
U105562,0,2,1377.0,PR100054,Windows,PR101451,0,0
U105563,6,5,1528.0,PR100551,Windows,PR102674,2,2
U105564,2,3,1951.0,PR100739,Andriod,PR101051,1,0
U105565,2,2,1187.0,PR103065,Mac OS X,PR100055,2,0
U105566,4,6,1262.0,PR100071,Windows,,0,4
U105567,51,19,1322.0,PR100995,Windows,PR100608,16,30
U105568,12,4,1818.0,PR100426,Andriod,,2,10
U105569,10,7,1410.0,PR100166,Windows,PR100044,3,6
U105570,1,5,1616.0,PR100098,Windows,PR100123,1,0
U105571,2,6,2007.0,PR102229,Windows,PR100802,2,0
U105572,14,2,1281.0,PR100050,Windows,PR100444,2,12
U105573,18,9,1186.0,PR100250,Windows,PR100204,5,11
U105574,29,12,2301.0,PR101575,Windows,PR103967,7,19
U105575,3,14,2023.0,PR100204,Windows,PR102125,2,1
U105576,0,0,3389.0,PR102864,Andriod,PR100200,0,0
U105577,0,0,1749.0,PR100181,Windows,PR100017,0,0
U105578,2,6,1187.0,,Windows,PR100126,2,0
U105579,2,2,1391.0,PR100476,Windows,PR100476,1,1
U105580,1,1,1332.0,PR100676,Andriod,PR100086,0,0
U105581,0,0,1366.0,PR100060,Windows,,0,0
U105582,19,5,1182.0,PR101049,Windows,PR100134,2,15
U105583,3,5,1657.0,PR101764,Windows,PR100250,2,1
U105584,5,4,1472.0,PR100121,Windows,PR100003,1,1
U105585,13,4,1224.0,PR100027,Windows,PR100027,1,10
